3079214,4481189,1
3079248,4481124,64
3078073,4480000
3078117,4480052
3078141,4480108
3078153,4480163
3078158,4480234
3078164,4480282
3078176,4480317
3078229,4480393
3078382,4480506
3079277,4481064
3079282,4481022
3079274,4480970
3079279,4480940
3079300,4480896
3079324,4480856
3079368,4480812
3079390,4480783
3079405,4480737
3079413,4480699
3079416,4480632
3079403,4480590
3079373,4480534
3079364,4480510
3079372,4480482
3079377,4480471
3079396,4480461
3079456,4480485
3079491,4480498
3079526,4480503
3079551,4480495
3079577,4480475
3079592,4480434
3079601,4480385
3079630,4480325
3079670,4480264
3079720,4480203
3079746,4480183
3079755,4480156
3079766,4480111
3079787,4480093
3079824,4480087
3079880,4480086
3079920,4480070
3079948,4480043
3079958,4480000
3078214,4480000
3078331,4480117
3078284,4480231
3078277,4480292
3078281,4480334
3078295,4480367
3078319,4480400
3078340,4480411
3078360,4480411
3078413,4480343
3078429,4480333
3078449,4480337
3078456,4480351
3078456,4480373
3078447,4480397
3078788,4480895
3078935,4480897
3079301,4481179,65
3079395,4481306,66
3079502,4481534,67
3079629,4481583,68
3079883,4481536,69
3080000,4481637,395
3078351,4480137
3078513,4480254
3078691,4480338
3078890,4480414
3079171,4480594
3079425,4480858
3079624,4481095
3079792,4481204
3079972,4481297
3080000,4481311
3083192,4480193
3083771,4480144
3083960,4480163
3087725,4486758
3087786,4486628
3089613,4480199
3089934,4480000
3088360,4488382
3088255,4488740
3088008,4488846
3087206,4488948
3086901,4489161
3089176,4480894
3089369,4481037
3089539,4481245
3089719,4481653
3089741,4481753
3089720,4481806
3089666,4481870
3089588,4481928
3089475,4481943
3089424,4481970
3089384,4482018
3089370,4482200
3089325,4482338
3089311,4482475
3089324,4482577
3089311,4482688
3089124,4484476
3089246,4484471
3086543,4484342
3086633,4484342
3086936,4484268
3087009,4484221
3088250,4480000
3088330,4480027
3088409,4480070
3088426,4488411
3088292,4486742,166
3088418,4486334
3088620,4485888
3088596,4484905
3088731,4484737
3088879,4484675
3085514,4484405
3085633,4484383
3086262,4483739,177
3086380,4483582
3088278,4487941
3088286,4488320
3084514,4483960
3084900,4484018
3084553,4483744
3084662,4483803
3084909,4483838
3084706,4483326
3084611,4483586
3084176,4483826
3084415,4483950
3085012,4480000
3084982,4480274
3084812,4480736
3084728,4481097
3084846,4481614
3084852,4481705
3082044,4482416,192
3081926,4482640
3081989,4482766
3082604,4483119
3082723,4483086
3082819,4483096
3082917,4483165
3082988,4483275
3081526,4482043,167
3081493,4481784
3081607,4481680
3081735,4481290
3081898,4481105
3081981,4480970
3082042,4480793
3082302,4480538
3082505,4480565
3083069,4480374
3083462,4480000
3088548,4487221,165
3088635,4487398,422
3088470,4486991,164
3081750,4482204,145
3084503,4484132
3084330,4484433
3085450,4484488
3085307,4484589
3089720,4480000
3088426,4488285
3087891,4486876
3087872,4487073
3087958,4487382
3086337,4483807,178
3086458,4484000,179
3086607,4484602,298
3088139,4487325
3088225,4487221
3087912,4487471
3087956,4487638
3085392,4484674
3085471,4484664
3085603,4484829
3084525,4483849
3089313,4480588
3089219,4480563
3089344,4480502
3089395,4480419
3082119,4482463,193
3082223,4482496,244
3081478,4480792
3081563,4480661
3081685,4480511
3081817,4480428
3081888,4480405
3082071,4480390
3082394,4480428
3082497,4480415
3082628,4480396
3082783,4480344
3082776,4483314
3082907,4483268
3083133,4483315
3083255,4483256
3083606,4483199
3083802,4483202
3083872,4483214
3083924,4483250
3083965,4483392
3084002,4483459
3084098,4483501
3084227,4483452
3084282,4483408
3084320,4483411
3083917,4483417
3083851,4483614
3084314,4483459
3084277,4483495
3084559,4480312
3084732,4480364
3085218,4480558
3085655,4480829
3086093,4481146
3086581,4481569
3087681,4482903
3087461,4483057
3087434,4483070
3087403,4483072
3087380,4483062
3087355,4483038
3087329,4482999
3087403,4482958
3087496,4482903
3087871,4482561
3084377,4482876,239
3084432,4482887,240
3084598,4482921,241
3085368,4482941,242
3085509,4482968,243
3085627,4483042,126
3082836,4482636,245
3083288,4482405,246
3083783,4482485,247
3084127,4482816,248
3084260,4482852,238
3084854,4481722
3084846,4481773
3084699,4482097
3084681,4482290
3084615,4482414
3084473,4482550
3084458,4482675
3085823,4482164
3085798,4481968
3085852,4481648
3085810,4481431
3085964,4482278
3086395,4482796
3086695,4483149
3086781,4483251
3086847,4483221
3083852,4483746
3084188,4484275
3084453,4484513
3084737,4484923
3084999,4485360
3085093,4485442
3085609,4485649
3085079,4484045
3085082,4484116
3085146,4484271
3084908,4484304
3084974,4484392
3085769,4485713
3086082,4485426
3086221,4485656
3086396,4485788
3086596,4486219
3086889,4486212
3087084,4486262
3087150,4486417
3087714,4486517
3085831,4485462
3085788,4485811
3085218,4484448
3085219,4484719
3085435,4485148
3085793,4483964
3085806,4483833
3085835,4484121
3086065,4484172
3086143,4483946
3086169,4484195
3086470,4484336
3086799,4485381,299
3087104,4486066,300
3087626,4486363,118
3086467,4484661
3086064,4484527
3085647,4484102
3084896,4483703
3085912,4482747
3085873,4482489
3086450,4483489
3086667,4483303
3086359,4483446
3086335,4483145
3086263,4482817
3086263,4482430
3085672,4480709
3085925,4480394
3085857,4482386
3086275,4482273
3086047,4481658
3085963,4481501
3086743,4482359
3086923,4483632
3087094,4484167
3087298,4484040
3087964,4484199
3087990,4483532
3088098,4483260
3088194,4482974
3088158,4482774
3088263,4482014
3089059,4481307
3089119,4481223
3089151,4481123
3088038,4482631
3088890,4482774
3089034,4482702
3089291,4482869
3089341,4483193
3089333,4483702
3089246,4484184
3086791,4483088
3087079,4482330
3087319,4482202
3087642,4481915
3087894,4481715
